127.0.0.1 - - [20/Aug/2019:23:51:36 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [20/Aug/2019:23:51:38 +0900] "GET /BBS/index.jsp HTTP/1.1" 200 212
0:0:0:0:0:0:0:1 - - [20/Aug/2019:23:51:38 +0900] "GET /BBS/css/custom.css HTTP/1.1" 200 1053
0:0:0:0:0:0:0:1 - - [20/Aug/2019:23:51:38 +0900] "GET /BBS/images/night.jpg HTTP/1.1" 200 174005
0:0:0:0:0:0:0:1 - - [20/Aug/2019:23:51:39 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 3724
0:0:0:0:0:0:0:1 - - [20/Aug/2019:23:51:39 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 200 145981
0:0:0:0:0:0:0:1 - - [20/Aug/2019:23:51:39 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 200 69707
125.242.79.93 - - [20/Aug/2019:23:52:45 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 3724
125.242.79.93 - - [20/Aug/2019:23:52:45 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 200 145981
125.242.79.93 - - [20/Aug/2019:23:52:45 +0900] "GET /BBS/css/custom.css HTTP/1.1" 200 1053
125.242.79.93 - - [20/Aug/2019:23:52:45 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 200 69707
125.242.79.93 - - [20/Aug/2019:23:52:45 +0900] "GET /BBS/images/night.jpg HTTP/1.1" 200 174005
125.242.79.93 - - [20/Aug/2019:23:52:46 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [20/Aug/2019:23:53:42 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 3724
0:0:0:0:0:0:0:1 - - [20/Aug/2019:23:53:42 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 200 145981
0:0:0:0:0:0:0:1 - - [20/Aug/2019:23:53:42 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [20/Aug/2019:23:53:42 +0900] "GET /BBS/css/custom.css HTTP/1.1" 200 1053
0:0:0:0:0:0:0:1 - - [20/Aug/2019:23:53:43 +0900] "GET /BBS/images/night.jpg HTTP/1.1" 200 174005
125.242.79.93 - - [20/Aug/2019:23:54:09 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 3724
125.242.79.93 - - [20/Aug/2019:23:54:09 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
125.242.79.93 - - [20/Aug/2019:23:54:09 +0900] "GET /BBS/css/custom.css HTTP/1.1" 304 -
125.242.79.93 - - [20/Aug/2019:23:54:09 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
125.242.79.93 - - [20/Aug/2019:23:54:09 +0900] "GET /BBS/images/night.jpg HTTP/1.1" 304 -
